Coordenada-X,Coordenada-Y,Dirección,Longitud,Latitud
434954.0,4472113.0,"C/ GRANJA DE TORREHERMOSA, 2 ",-3.7664885474841503,40.397074625115906
439775.0,4473962.0,"C/ DOCTOR LETAMENDI, 1",-3.70985912127358,40.4141029084466
442345.0,4474221.0,"AV/ MENENDEZ PELAYO , 10-3 BJ ",-3.67959303680348,40.4166091081099
441830.0,4471375.0,AV/ PLANETARIO 16,-3.68539115543989,40.3909440818148
436689.0,4468938.0,"C/CIDRO, 3 ",-3.74573026512817,40.368615544135
443153.0,4471330.0,C/ FRANCISCO LAGUNA 38,-3.669802,40.390628
440849.0,4466524.0,"C/ CIFUENTES, 22 28021 MADRID",-3.696499,40.347177
439657.0,4466414.0,"PASEO ALBERTO PALACIOS, 13",-3.710522,40.346099
439102.0,4478967.0,"C/ FRANCOS RODRIGUEZ, 97 ",-3.71827056367926,40.4591410411634
441779.0,4473428.0,"Pza. del Ángel Caído. Parque del Retiro 
(Entrada al Retiro al final de la cuesta de Claudio Moyano)",-3.68617978009932,40.4094350327911
438584.0,4474694.0,Pº Azul s/n. Parque de la Casa de Campo,-3.723958,40.420606
437394.0,4476508.0,"Km. 22. M-30 (frente a palacio Moncloa)
 M-30 . Km. 21.600, calzada sur.",-3.73817152304904,40.4368625714704
438775.0,4475363.0,"c/ de la Rosaleda s/n. Rosaleda del Parque del Oeste
 (junto al teleférico)",-3.721771,40.426646
449323.0,4471841.0,"C/ AHUMAOS, 27 28052 MADRID",-3.597144,40.395628
435024.0,4470233.0,"C/ CASUARINA, 10",-3.765466,40.380148
433934.0,4468399.0,"CARRETERA BARRIO DE LA FORTUNA, KM 10. 28054",-3.77811006728668,40.3635463096433
440066.0,4475362.0,"C/ SAN BERNARDO, 68 ",-3.70654962226942,40.4267358311415
447796.0,4475482.0,"Av Hellin, 52",-3.6154373664644304,40.4283288391741
443623.0,4480593.0,"C/ Mesena, 146",-3.66508396658848,40.4740988954065
440953.0,4471932.0,"PLAZA JOSE VILLARREAL, 2 ",-3.69705214496161,40.3940185448828
442243.0,4471700.0,"C/ EROS, 2",-3.68055149170835,40.3939029832483
439131.0,4473248.0,Pº IMPERIAL 20,-3.7173807221939104,40.4076150141064
440979.0,4472617.0,"C/ CANARIAS, 17 Y PALOS DE LA FRONTERA, 16",-3.6955325387824,40.4020727986286
441329.0,4471761.0,"C/ ALICANTE , 14",-3.6913410601461,40.394377158851
449666.0,4479054.0,AV/ LOGROÑO 181,-3.59368776573359,40.4606228353796
450862.0,4480620.0,"C/ ACUARIO, 27",-3.57969145174686,40.474801968086496
437044.0,4469856.0,"C/ALISEDA, 6 ",-3.74163973555209,40.3769031921739
436243.0,4469562.0,"C/ EUGENIA DE MONTIJO, 105, B 1",-3.75103374498486,40.3742029001021
437604.0,4472194.0,"C/ VÍA CARPETANA, 71",-3.7352725040539503,40.3980160845768
439802.0,4476182.0,"C/ FERNANDO EL CATÓLICO, 16",-3.70973929433482,40.4341036895304
445975.0,4476345.0,"C/ HERMANOS GARCÍA NOBLEJAS, 16",-3.6369774916267,40.4359959748431
445600.0,4475637.0,"C/ ASCAO, 2",-3.6413497414718705,40.4295843942338
444825.0,4475074.0,"C/SANTA FELICIDAD, 37",-3.6504253324201104,40.4244706080435
444202.0,4478162.0,"C/ SAN NEMESIO, 1",-3.6580402287911906,40.4522473796527
446786.0,4475211.0,"C/ HERMANOS GARCÍA NOBLEJAS, 170",-3.62858860100972,40.4239607645562
444814.0,4475167.0,"C/ NUESTRA SEÑORA DEL VILLAR, 8",-3.65184164138948,40.4234265908421
439255.0,4480448.0, C/BUITRAGO DE LOZOYA 22,-3.71660783300847,40.4724846268841
441162.0,4484225.0,AV/ M.º SILOS 57 / CAAVEIRO,-3.694447,40.506657
441216.0,4481146.0,"AV/ MONFORTE DE LEMOS, 13",-3.69354065974728,40.4789135943213
439451.0,4481771.0,"C/ DE LA MASÓ, 190 BJ ",-3.71442225647198,40.4844259993208
438637.0,4482886.0,"C/MARIA CASARES, 15 ",-3.724127,40.494405
442700.0,4484024.0, C/ EUNATE 6 C/CASTILLO DE CANDANCHÚ 42-46,-3.676283,40.504951
446795.0,4479520.0,C/PROVENCIO 20,-3.62758771450258,40.4646509480538
444469.0,4482391.0,"C/ PRINCESA ÉBOLI, 29",-3.65526174471725,40.4903531015737
444286.0,4479355.0,CARRETERA DE CANILLAS 2,-3.65715427699194,40.462991140169
444847.0,4479572.0,"C/ BENITA ÁVILA, 17",-3.65056826658469,40.46498334634
435041.0,4470644.0,"AV/ LAS AGUILAS, 2 (ANT AV/DEL GENERAL FANJUL)",-3.76530195937242,40.3838571804374
435779.0,4470115.0,"AV/ POBLADOS, S/N BJ - ",-3.75655476241196,40.379148937377295
437062.0,4472332.0,"C/ ALHAMBRA / C/ CUÑA LATINA DOS, 2",-3.74165624171805,40.3992228218455
434109.0,4468407.0,"C/ PINAR DE SAN JOSE , 104 - MADRID (28054)",-3.77604986037844,40.3636232165702
437595.0,4472245.0,"C/ GALLUR, 2",-3.73538345068692,40.398465832065
439360.0,4479933.0,"C/ ISLAS BISAGOS, 13",-3.715308,40.467857
437798.0,4476478.0,"Paseo Senda del Rey, 8",-3.733391,40.436623
444577.0,4473403.0,"C/ ARROYO BELINCOSO, 9",-3.65321477735933,40.4093917367651
447057.0,4472576.0,"C/ LADERA DE LOS ALMENDROS, 4-6",-3.62391894122114,40.4021030238157
446468.0,4472964.0,C/ CAÑÓN DEL RIO LOBOS,-3.630877,40.405577
446331.0,4472220.0,C/ VALDEBERNARDO 2,-3.63243229021453,40.3988585457233
443346.0,4473992.0,"C/ JOSE MARTÍNEZ DE VELASCO, 22",-3.66777459044681,40.4146148994401
442787.0,4473989.0,C/ PIO BAROJA 4,-3.67435086047564,40.4145497024899
442826.0,4472467.0,"AV/ CIUDAD DE BARCELONA, 83",-3.6737662524006702,40.4008413126834
443564.0,4474129.0,"C/ JUAN ESPLANDIÚ,2 ",-3.66520562618556,40.4158639493011
443476.0,4473852.0,C/ PEZ AUSTRAL 6 - 28007 MADRID,-3.66620904783224,40.4133787186389
443247.0,4476088.0,"C/ PILAR DE ZARAGOZA, 28, Bajo",-3.6691167784691694,40.4334991005029
443092.0,4475923.0,"AV DE LOS TOREROS, 5",-3.67092933307802,40.4320021057146
451431.0,4477509.0,"C/ FEBRERO, 4",-3.57274116382091,40.4468185923002
448295.0,4476161.0,"AV/ DE ARCENTALES, 26",-3.6096102461466,40.4344858647358
441058.0,4480296.0,"C/JOAQUIN DICENTA, 1 ",-3.69532569789638,40.4712542658614
440857.0,4480052.0,"PLAZA DE DONOSO, 5",-3.69766200679649,40.4690329914409
439298.0,4470826.0,"C/ SAN FILIBERTO, 5 BJ ",-3.71518188811652,40.3858176778342
440559.0,4468845.0,"AV ORCASUR, 64",-3.70012965685136,40.3680537472289
440472.0,4468702.0," PLAZA PUEBLO, 1 BJ1",-3.7011410630838,40.3667683247534
439670.0,4470445.0,"AV/. RAFAELA YBARRA, 41",-3.7107515747822304,40.3824125300917
