tipo del edificio,edificio,dirección,distrito,clase,unidades,consumo,puesta en servicio,potencia kwp,empresa instaladora
Centros culturales y bibliotecas,Biblioteca Ana María Matute,"CALLE ISAAC ALBENIZ, 1 28019 MADRID",CARABANCHEL,Energía activa,kWh,13099.0,2020-03-01,,empresa desconocida
Centros culturales y bibliotecas,Biblioteca Ana María Matute,"CALLE ISAAC ALBENIZ, 1 28019 MADRID",CARABANCHEL,Energía Reactiva,kvarh,104.0,2020-03-01,,empresa desconocida
Centros culturales y bibliotecas,Biblioteca Ángel González,"CALLE GRANJA DE TORREHERMOSA, 1 28024 MADRID",LATINA,Energía activa,kWh,9688.0,2020-03-01,,empresa desconocida
Centros culturales y bibliotecas,Biblioteca Ángel González,"CALLE GRANJA DE TORREHERMOSA, 1 28024 MADRID",LATINA,Energía Reactiva,kvarh,4262.0,2020-03-01,,empresa desconocida
Centros culturales y bibliotecas,Biblioteca Ángel González,"CALLE GRANJA DE TORREHERMOSA, 1 28024 MADRID",LATINA,Gas,m3,0.0,2020-03-01,,empresa desconocida
Centros culturales y bibliotecas,Biblioteca Eugenio Trías,"PASEO FERNAN NUÑEZ, 24 28009 MADRID",RETIRO,Energía activa,kWh,14630.0,2020-03-01,,empresa desconocida
Centros culturales y bibliotecas,Biblioteca Eugenio Trías,"PASEO FERNAN NUÑEZ, 24 28009 MADRID",RETIRO,Energía Reactiva,kvarh,4173.0,2020-03-01,,empresa desconocida
Centros culturales y bibliotecas,Biblioteca Eugenio Trías,"PASEO FERNAN NUÑEZ, 24 28009 MADRID",RETIRO,Gas,m3,0.0,2020-03-01,,empresa desconocida
Centros culturales y bibliotecas,Biblioteca Gerardo Diego,"CALLE MONTE AYA, 12 28031 MADRID",VILLA DE VALLECAS,Energía activa,kWh,4308.0,2020-03-01,,empresa desconocida
Centros culturales y bibliotecas,Biblioteca Gerardo Diego,"CALLE MONTE AYA, 12 28031 MADRID",VILLA DE VALLECAS,Energía Reactiva,kvarh,1449.0,2020-03-01,,empresa desconocida
Centros culturales y bibliotecas,Biblioteca Gerardo Diego,"CALLE MONTE AYA, 12 28031 MADRID",VILLA DE VALLECAS,Gas,m3,0.0,2020-03-01,,empresa desconocida
Centros culturales y bibliotecas,Biblioteca José Hierro,"CALLE MARIA SEVILLA DIAGO, 15 28022 MADRID",SAN BLAS - CANILLEJAS,Energía activa,kWh,2751.0,2020-03-01,,empresa desconocida
Centros culturales y bibliotecas,Biblioteca José Hierro,"CALLE MARIA SEVILLA DIAGO, 15 28022 MADRID",SAN BLAS - CANILLEJAS,Energía Reactiva,kvarh,80.0,2020-03-01,,empresa desconocida
