tipo_del_edificio,edificio,direccin,distrito,clase,unidades,consumo,puesta_en_servicio,potencia_kwp,empresa_instaladora
cultural,biblioteca_ana_maría_matute,calle_isaac_albeniz_1_28019_madrid,carabanchel,energía_activa,kwh,130990,20200301,nan,empresa_desconocida
cultural,biblioteca_ana_maría_matute,calle_isaac_albeniz_1_28019_madrid,carabanchel,energía_reactiva,kvarh,1040,20200301,nan,empresa_desconocida
cultural,biblioteca_ángel_gonzález,calle_granja_de_torrehermosa_1_28024_madrid,latina,energía_activa,kwh,96880,20200301,nan,empresa_desconocida
cultural,biblioteca_ángel_gonzález,calle_granja_de_torrehermosa_1_28024_madrid,latina,energía_reactiva,kvarh,42620,20200301,nan,empresa_desconocida
cultural,biblioteca_ángel_gonzález,calle_granja_de_torrehermosa_1_28024_madrid,latina,gas,m3,00,20200301,nan,empresa_desconocida
cultural,biblioteca_eugenio_trías,paseo_fernan_nuñez_24_28009_madrid,retiro,energía_activa,kwh,146300,20200301,nan,empresa_desconocida
cultural,biblioteca_eugenio_trías,paseo_fernan_nuñez_24_28009_madrid,retiro,energía_reactiva,kvarh,41730,20200301,nan,empresa_desconocida
cultural,biblioteca_eugenio_trías,paseo_fernan_nuñez_24_28009_madrid,retiro,gas,m3,00,20200301,nan,empresa_desconocida
cultural,biblioteca_gerardo_diego,calle_monte_aya_12_28031_madrid,villa_de_vallecas,energía_activa,kwh,43080,20200301,nan,empresa_desconocida
cultural,biblioteca_gerardo_diego,calle_monte_aya_12_28031_madrid,villa_de_vallecas,energía_reactiva,kvarh,14490,20200301,nan,empresa_desconocida
cultural,biblioteca_gerardo_diego,calle_monte_aya_12_28031_madrid,villa_de_vallecas,gas,m3,00,20200301,nan,empresa_desconocida
cultural,biblioteca_josé_hierro,calle_maria_sevilla_diago_15_28022_madrid,san_blas_canillejas,energía_activa,kwh,27510,20200301,nan,empresa_desconocida
cultural,biblioteca_josé_hierro,calle_maria_sevilla_diago_15_28022_madrid,san_blas_canillejas,energía_reactiva,kvarh,800,20200301,nan,empresa_desconocida
cultural,biblioteca_josé_hierro,calle_maria_sevilla_diago_15_28022_madrid,san_blas_canillejas,gas,m3,00,20200301,nan,empresa_desconocida
cultural,biblioteca_la_elipa_islas_filipinas,calle_nuestra_señora_del_villar_6_28017_madrid,ciudad_lineal,energía_activa,kwh,9950,20200301,nan,empresa_desconocida
cultural,biblioteca_la_elipa_islas_filipinas,calle_nuestra_señora_del_villar_6_28017_madrid,ciudad_lineal,gas,m3,00,20200301,nan,empresa_desconocida
cultural,biblioteca_la_elipa_islas_filipinas,calle_nuestra_señora_del_villar_6_28017_madrid,ciudad_lineal,gas,m3,00,20200301,nan,empresa_desconocida
cultural,biblioteca_mario_vargas_llosa,calle_barcelo_4_28004_madrid,centro,energía_activa,kwh,35360,20200301,nan,empresa_desconocida
cultural,biblioteca_mario_vargas_llosa,calle_barcelo_4_28004_madrid,centro,energía_reactiva,kvarh,11900,20200301,nan,empresa_desconocida
cultural,biblioteca_miguel_delibes,calle_arroyo_belincoso_11_junto_a_centro_cultural_eduardo_chillida_28030_madrid,moratalaz,energía_activa,kwh,59300,20200301,nan,empresa_desconocida
cultural,biblioteca_miguel_delibes,calle_arroyo_belincoso_11_junto_a_centro_cultural_eduardo_chillida_28030_madrid,moratalaz,energía_reactiva,kvarh,12590,20200301,nan,empresa_desconocida
cultural,biblioteca_miguel_delibes,calle_arroyo_belincoso_11_junto_a_centro_cultural_eduardo_chillida_28030_madrid,moratalaz,gas,m3,00,20200301,nan,empresa_desconocida
cultural,biblioteca_pablo_neruda,calle_ascao_4_28017_madrid,ciudad_lineal,energía_activa,kwh,45230,20200301,nan,empresa_desconocida
cultural,biblioteca_pablo_neruda,calle_ascao_4_28017_madrid,ciudad_lineal,gas,m3,00,20200301,nan,empresa_desconocida
cultural,biblioteca_pío_baroja,calle_arganda_12_28005_madrid,arganzuela,energía_activa,kwh,40210,20200301,nan,empresa_desconocida
cultural,biblioteca_pío_baroja,calle_arganda_12_28005_madrid,arganzuela,energía_reactiva,kvarh,9330,20200301,nan,empresa_desconocida
cultural,biblioteca_pío_baroja,calle_arganda_12_28005_madrid,arganzuela,gas,m3,00,20200301,nan,empresa_desconocida
cultural,cc_conde_duque,calle_conde_duque_11_28015_madrid,centro,energía_activa,kwh,00,20200301,nan,empresa_desconocida
cultural,cc_conde_duque,calle_conde_duque_11_28015_madrid,centro,energía_reactiva,kvarh,00,20200301,nan,empresa_desconocida
