Número,Código Ayto,Centro,Dirección,Coordenada-X,Coordenada-Y,Latitud,Longitud,Superficie (m2),Uso del edificio,Adscripción,Distrito,Potencia KWp,Empresa instaladora,Puesta en servicio
1.0,2178.0,BIBLIOTECA ÁNGEL GONZALEZ,"C/ GRANJA DE TORREHERMOSA, 2 ",434954.0,4472113.0,40.397074625115906,-3.7664885474841503,1743.9618666666668,cultural, AG Cultura Turismo y Deportes , Latina ,20.0,ORTIZ,2019-07-31
2.0,782.0,BIBLIOTECA IVÁN DE VARGAS,"C/ DOCTOR LETAMENDI, 1",439775.0,4473962.0,40.4141029084466,-3.70985912127358,1743.9618666666668,cultural, AG Cultura Turismo y Deportes , Centro ,3.0,ORTIZ,2019-07-24
3.0,2096.0,BIBLIOTECA EUGENIO TRIAS (CASA FIERAS),"AV/ MENENDEZ PELAYO , 10-3 BJ ",442345.0,4474221.0,40.4166091081099,-3.67959303680348,1743.9618666666668,cultural, AG Cultura Turismo y Deportes , Retiro ,18.511834128143455,ORTIZ,2019-07-24
4.0,1046.0,PLANETARIO,AV/ PLANETARIO 16,441830.0,4471375.0,40.3909440818148,-3.68539115543989,3.062,cultural, AG Cultura Turismo y Deportes , Arganzuela ,25.0,FULTON,2019-09-13
5.0,2143.0,MADRID EMPRENDE,"C/CIDRO, 3 ",436689.0,4468938.0,40.368615544135,-3.74573026512817,1242.6928333333333,administrativo," AG Economía, Innovación y Empleo ", Carabanchel ,10.0,Empresa desconocida,2019-09-13
6.0,1779.0,MARES MADRID,C/ FRANCISCO LAGUNA 38,443153.0,4471330.0,40.390628,-3.669802,1242.6928333333333,administrativo," AG Economía, Innovación y Empleo ", Puente de Vallecas  ,7.0,Empresa desconocida,2019-09-13
7.0,2639.0,NAVE BOETTICHER,"C/ CIFUENTES, 22 28021 MADRID",440849.0,4466524.0,40.347177,-3.696499,1242.6928333333333,administrativo," AG Economía, Innovación y Empleo ", Villaverde ,5.0,Empresa desconocida,2019-09-13
8.0,1779.0,MARES VILLAVERDE MAR DE ALIMENTACION Y CUIDADO,"PASEO ALBERTO PALACIOS, 13",439657.0,4466414.0,40.346099,-3.710522,1242.6928333333333,administrativo," AG Economía, Innovación y Empleo ", Villaverde ,7.0,AURA,2019-01-15
9.0,317.0,AULA DE LA NATURALEZA DEHESA DE LA VILLA,"C/ FRANCOS RODRIGUEZ, 97 ",439102.0,4478967.0,40.4591410411634,-3.71827056367926,1212.4530804213668,medioambiental, AG de Medio Ambiente y Movilidad , Moncloa Aravaca ,6.307692307692309,Empresa desconocida,2008-08-13
10.0,2096.0,VIVERO MUNICIPAL DE ESTUFAS DEL RETIRO,"Pza. del Ángel Caído. Parque del Retiro 
(Entrada al Retiro al final de la cuesta de Claudio Moyano)",441779.0,4473428.0,40.4094350327911,-3.68617978009932,1108.709608008587,medioambiental, AG de Medio Ambiente y Movilidad , Retiro ,5.0,Empresa desconocida,2008-08-13
11.0,317.0,VIVERO MUNICIPAL DE CASA DE CAMPO,Pº Azul s/n. Parque de la Casa de Campo,438584.0,4474694.0,40.420606,-3.723958,1108.709608008587,medioambiental, AG de Medio Ambiente y Movilidad , Moncloa Aravaca ,5.0,Empresa desconocida,2008-08-13
12.0,317.0,VIVERO MUNICIPAL DE MIGAS CALIENTES,"Km. 22. M-30 (frente a palacio Moncloa)
 M-30 . Km. 21.600, calzada sur.",437394.0,4476508.0,40.4368625714704,-3.73817152304904,1108.709608008587,medioambiental, AG de Medio Ambiente y Movilidad , Moncloa Aravaca ,5.0,Empresa desconocida,2008-08-13
13.0,317.0,ROSALEDA DEL PARQUE DEL OESTE,"c/ de la Rosaleda s/n. Rosaleda del Parque del Oeste
 (junto al teleférico)",438775.0,4475363.0,40.426646,-3.721771,1108.709608008587,medioambiental, AG de Medio Ambiente y Movilidad , Moncloa Aravaca ,5.0,Empresa desconocida,2008-08-13
14.0,2520.0,ALMACÉN DE LA VILLA,"C/ AHUMAOS, 27 28052 MADRID",449323.0,4471841.0,40.395628,-3.597144,2144.9995570296232,almacén, AG Obras y Equipamientos , Vicálvaro ,18.68068312801352,SAVEFFI,2020-03-27
16.0,1704.0,BASE 14 SAMUR,"C/ CASUARINA, 10",435024.0,4470233.0,40.380148,-3.765466,1188.0428516183597,sanitario," AG de Portavoz, Seguridad y Emergencias ", Latina ,6.0,AURA,2018-02-14
17.0,1904.0,CENTRO PROTECCIÓN ANIMAL,"CARRETERA BARRIO DE LA FORTUNA, KM 10. 28054",433934.0,4468399.0,40.3635463096433,-3.77811006728668,1301.3760567751779,sanitario, MADRID SALUD , Latina ,7.428571428571431,POWEN,2018-06-21
18.0,1372.0,PARQUE BOMBEROS Nº 6,"C/ SAN BERNARDO, 68 ",440066.0,4475362.0,40.4267358311415,-3.70654962226942,1108.709608008587,seguridad," AG de Portavoz, Seguridad y Emergencias ", Centro ,5.0,AURA,2020-02-14
19.0,594.0,PARQUE DE BOMBEROS Nº 7,"Av Hellin, 52",447796.0,4475482.0,40.4283288391741,-3.6154373664644304,3488.7069163017695,seguridad," AG de Portavoz, Seguridad y Emergencias ", San Blas Canillejas ,35.0,FERROVIAL,2018-02-13
20.0,351.0,PARQUE DE BOMBEROS Nº 11,"C/ Mesena, 146",443623.0,4480593.0,40.4740988954065,-3.66508396658848,2695.374480204042,seguridad," AG de Portavoz, Seguridad y Emergencias ", Hortaleza ,25.0,FERROVIAL,2019-10-01
