Número;Código Ayto;Centro;Dirección;Coordenada-X;Coordenada-Y;Latitud;Longitud;Superficie (m2);Uso del edificio;Adscripción;Distrito;Potencia KWp;Empresa instaladora;Puesta en servicio;;;;;;;;;;
1;2178;BIBLIOTECA ÁNGEL GONZALEZ;C/ GRANJA DE TORREHERMOSA, 2 ;434954;4472113;40.397074625115900;-3.7664885474841500;;cultural;JMD Latina;LATINA;20;ORTIZ;31/07/2019;;;;;;;;;;
2;782;BIBLIOTECA IVÁN DE VARGAS;C/ DOCTOR LETAMENDI, 1;439775;4473962;40.41410290844660;-3.7098591212735800;;cultural;AG Cultura Turismo y Deportes;CENTRO;3;ORTIZ;24/07/2019;;;;;;;;;;
3;2096;BIBLIOTECA EUGENIO TRIAS (CASA FIERAS);AV/ MENENDEZ PELAYO , 10-3 BJ ;442345;4474221;40.4166091081099;-3.6795930368034800;;cultural;AG Cultura Turismo y Deportes;RETIRO;8,2;ORTIZ;24/07/2019;;;;;;;;;;
4;1046;PLANETARIO;AV/ PLANETARIO 16;441830;4471375;40.390944081814800;-3.685391155439890;3062;cultural;AG Cultura Turismo y Deportes;ARGANZUELA;25;FULTON;13/09/2019;;;;;;;;;;
5;2143;MADRID EMPRENDE;C/CIDRO, 3 ;436689;4468938;40.36861554413500;-3.74573026512817;;administrativo;AG Economía, Innovación y Empleo;CARABANCHEL;10;;;;;;;;;;;;
7;2639;NAVE BOETTICHER;C/ CIFUENTES, 22 ;440849;4466524;40.347177;-3.696499;;administrativo;AG Economía, Innovación y Empleo;VILLAVERDE;5;ETRALUX;;;;;;;;;;;
8;1779;OFICINA ECONOMIA SOCIAL-PROYECTO MARES ALBERTO PALACIOS;PASEO ALBERTO PALACIOS, 13;439657;4466414;40.346099;-3.710522;;administrativo;AG Economía, Innovación y Empleo;VILLAVERDE;7;AURA;15/01/2019;;;;;;;;;;
9;317;AULA DE LA NATURALEZA DEHESA DE LA VILLA;C/ FRANCOS RODRIGUEZ, 97 ;439102;4478967;40.45914104116340;-3.718270563679260;;medioambiental;AG de Medio Ambiente y Movilidad;MONCLOA - ARAVACA;2,5;;13/08/2008;;;;;;;;;;
10;;VIVERO MUNICIPAL DE ESTUFAS DEL RETIRO;"Pza. del Ángel Caído. Parque del Retiro 
(Entrada al Retiro al final de la cuesta de Claudio Moyano)";441779;4473428;40.40943503279110;-3.6861797800993200;;medioambiental;AG de Medio Ambiente y Movilidad;RETIRO;5;;;;;;;;;;;;
12;;VIVERO MUNICIPAL DE MIGAS CALIENTES;"Km. 22. M-30 (frente a palacio Moncloa)
 M-30 . Km. 21.600, calzada sur.";437394;4476508;40.43686257147040;-3.7381715230490400;;medioambiental;AG de Medio Ambiente y Movilidad;MONCLOA - ARAVACA;7,42;;;;;;;;;;;;
13;;ROSALEDA DEL PARQUE DEL OESTE;"c/ de la Rosaleda s/n. Rosaleda del Parque del Oeste
 (junto al teleférico)";438775;4475363;40.426646;-3.721771;;medioambiental;AG de Medio Ambiente y Movilidad;MONCLOA - ARAVACA;5;;;;;;;;;;;;
14;2520;ALMACÉN DE LA VILLA;C/ AHUMAOS, 27 28052 MADRID;449323;4471841;40.395628;-3.597144;;almacén;AG Obras y Equipamientos;VICALVARO;17,5;SAVEFFI;27/03/2020;;;;;;;;;;
16;1704;BASE SAMUR Nº 14 FUERTE DE NAVIDAD;C/ CASUARINA, 10;435024;4470233;40.380148;-3.765466;;sanitario;AG de Vicealcaldía,Portavoz, Seguridad y Emergencias;LATINA;6;AURA;14/02/2018;;;;;;;;;;
17;1904;CENTRO PROTECCIÓN ANIMAL;CARRETERA BARRIO DE LA FORTUNA, KM 10;433934;4468399;40.363546309643300;-3.778110067286680;;sanitario;OA Madrid Salud;LATINA;9,88;POWEN;21/06/2018;;;;;;;;;;
18;1372;BASE SAMUR Nº 02 SAN BERNARDO/ CENTRO INTEGRAL EMERGENCIAS;C/ SAN BERNARDO, 68 ;440066;4475362;40.42673583114150;-3.7065496222694200;;seguridad;AG de Vicealcaldía,Portavoz, Seguridad y Emergencias;CENTRO;5;AURA;14/02/2020;;;;;;;;;;
19;594;PARQUE DE BOMBEROS Nº 7;Av Hellin, 52;447796;4475482;40.42832883917410;-3.6154373664644300;;seguridad;AG de Vicealcaldía,Portavoz, Seguridad y Emergencias;SAN BLAS - CANILLEJAS;35;FERROVIAL;13/02/2018;;;;;;;;;;
20;351;PARQUE DE BOMBEROS Nº 11;C/ Mesena, 146;443623;4480593;40.47409889540650;-3.665083966588480;;seguridad;AG de Vicealcaldía,Portavoz, Seguridad y Emergencias;HORTALEZA;25;FERROVIAL;01/10/2019;;;;;;;;;;
21;2021;CSS JOSÉ VILLARREAL (ARGANZUELA);PLAZA JOSE VILLARREAL, 2 ;440953;4471932;40.39401854488280;-3.697052144961610;;social;JMD Arganzuela;ARGANZUELA;17;;29/09/2008;;;;;;;;;;
22;2440;EI LA MELONERA ;C/ EROS, 2;442243;4471700;40.39390298324830;-3.680551491708350;;educativo;JMD Arganzuela;ARGANZUELA;7,5;IMESAPI;07/05/2019;;;;;;;;;;
23;1541;CDM MARQUÉS DE SAMARANCH;Pº IMPERIAL 20;439131;4473248;40.40761501410640;-3.7173807221939100;11523;deportivo;JMD Arganzuela;ARGANZUELA;90;EULEN;12/02/2019;;;;;;;;;;
24;1119;CDI ARGANZUELA;C/ CANARIAS, 17 Y PALOS DE LA FRONTERA, 16;440979;4472617;40.40207279862860;-3.6955325387824000;12470;mixto;JMD Arganzuela;ARGANZUELA;90;EULEN;10/03/2019;;;;;;;;;;
25;1916;CDM ARGANZUELA LA FUNDI;C/ ALICANTE , 14;441329;4471761;40.39437715885100;-3.691341060146100;;deportivo;JMD Arganzuela;ARGANZUELA;10;;28/02/2020;;;;;;;;;;
26;853;CC Y BIBLIOTECA GLORIA FUERTES;AV/ LOGROÑO 181;449666;4479054;40.460622835379600;-3.5936877657335900;;cultural;JMD Barajas;BARAJAS;8,2;DRAGADOS;14/12/2019;;;;;;;;;;
27;854;CMM ACUARIO;C/ ACUARIO, 27;450862;4480620;40.474801968086500;-3.5796914517468600;;social;JMD Barajas;BARAJAS;6,5;EULEN;01/04/2019;;;;;;;;;;
28;2019;CC SAN FRANCISCO LA PRENSA;C/ALISEDA, 6 ;437044;4469856;40.37690319217390;-3.741639735552090;;cultural;JMD Carabanchel;CARABANCHEL;5;;29/09/2008;;;;;;;;;;
29;330;CSC GARCÍA LORCA;C/ EUGENIA DE MONTIJO, 105, B 1;436243;4469562;40.37420290010210;-3.7510337449848600;;cultural;JMD Carabanchel;CARABANCHEL;3;AURA;25/09/2018;;;;;;;;;;
30;974;CDM PUERTA BONITA (ANTIGUO CANÓDROMO);C/ VÍA CARPETANA, 71;437604;4472194;40.39801608457680;-3.7352725040539500;;deportivo;JMD Carabanchel;CARABANCHEL;3;AURA;07/03/2019;;;;;;;;;;
31;191;CEIP /EIM FERNANDO EL CATÓLICO;C/ FERNANDO EL CATÓLICO, 16;439802;4476182;40.434103689530400;-3.7097392943348200;;educativo;JMD Chamberí;CHAMBERI;12,5;EULEN;14/12/2019;;;;;;;;;;
32;1104;JMD CIUDAD LINEAL (CMM, CC, BIBLIOTECA);C/ HERMANOS GARCÍA NOBLEJAS, 16;445975;4476345;40.43599597484310;-3.636977491626700;7239;mixto;JMD Ciudad Lineal;CIUDAD LINEAL;25;PECSA;24/10/2018;;;;;;;;;;
33;702;"CENTRO DE DÍA Y DE MAYORES ASCAO/
BIBLIOTECA PABLO NERUDA";C/ ASCAO, 2;445600;4475637;40.42958439423380;-3.6413497414718700;3542;mixto;JMD Ciudad Lineal;CIUDAD LINEAL;17,5;PECSA;21/01/2018;;;;;;;;;;
34;1103;CC LA ELIPA Y CSS SANTA FELICIDAD;C/SANTA FELICIDAD, 37;444825;4475074;40.42447060804350;-3.6504253324201100;2380;mixto;JMD Ciudad Lineal;CIUDAD LINEAL;15;PECSA;22/08/2018;;;;;;;;;;
35;223;CC Y CMM SAN JUAN BAUTISTA;C/ SAN NEMESIO, 1;444202;4478162;40.45224737965270;-3.6580402287911900;2167;mixto;JMD Ciudad Lineal;CIUDAD LINEAL;25;PECSA;21/01/2018;;;;;;;;;;
36;214;CMM Y CSS LUIS VIVES;C/ HERMANOS GARCÍA NOBLEJAS, 170;446786;4475211;40.423960764556200;-3.628588601009720;1378;social;JMD Ciudad Lineal;CIUDAD LINEAL;10,7;PECSA;21/01/2018;;;;;;;;;;
37;509;CMM / CC / BIBILIO LA ELIPA (ANTES ISLAS FILIPINAS);C/ NUESTRA SEÑORA DEL VILLAR, 8;444814;4475167;40.42342659084210;-3.651841641389480;2250;social;JMD Ciudad Lineal;CIUDAD LINEAL;15;PECSA;24/10/2018;;;;;;;;;;
38;2094;CSS SAN VICENTE DE PAUL; C/BUITRAGO DE LOZOYA 22;439255;4480448;40.47248462688410;-3.716607833008470;;social;JMD Fuercarral El Pardo;FUENCARRAL - EL PARDO;5,2;AVELSA (Avance Electrico S.L) ;01/09/2018;;;;;;;;;;
39;2446;EI ELENA FORTÚN (MONTECARMELO);AV/ M.º SILOS 57 / CAAVEIRO;441162;4484225;40.506657;-3.694447;;educativo;JMD Fuercarral El Pardo;FUENCARRAL - EL PARDO;7,5;ORTHEM;07/03/2019;;;;;;;;;;
40;1950;CDM VICENTE DEL BOSQUE;AV/ MONFORTE DE LEMOS, 13;441216;4481146;40.4789135943213;-3.693540659747280;7507;deportivo;JMD Fuercarral El Pardo;FUENCARRAL - EL PARDO;50;Ortiz;28/05/2019;;;;;;;;;;
41;1771;CDM LA MASÓ;C/ DE LA MASÓ, 190 BJ ;439451;4481771;40.48442599932080;-3.7144222564719800;8469;deportivo;JMD Fuercarral El Pardo;FUENCARRAL - EL PARDO;7;DRAGADOS;11/12/2019;;;;;;;;;;
42;2444;EI EL FRESNO;C/MARIA CASARES, 15 ;438637;4482886;40.494405;-3.724127;;educativo;JMD Fuercarral El Pardo;FUENCARRAL - EL PARDO;7,5;;26/04/2019;;;;;;;;;;
43;2443;EI POETA GLORIA FUERTES (LAS TABLAS);C/ EUNATE 6 C/CASTILLO DE CANDANCHÚ 42-46;442700;4484024;40.504951;-3.676283;;educativo;JMD Fuercarral El Pardo;FUENCARRAL - EL PARDO;7,5;CONDISA;12/02/2019;;;;;;;;;;
44;1937;CDM LUIS ARAGONÉS;C/PROVENCIO 20;446795;4479520;40.464650948053800;-3.6275877145025800;5588;deportivo;JMD Hortaleza;HORTALEZA;12,5;DRAGADOS;15/11/2018;;;;;;;;;;
45;2204;CC SANCHINARRO Y BIBLIOTECA MARÍA LEJÁRRAGA;C/ PRINCESA ÉBOLI, 29;444469;4482391;40.49035310157370;-3.655261744717250;;cultural;JMD Hortaleza;HORTALEZA;20;DRAGADOS;22/02/2019;;;;;;;;;;
46;1380;JMD HORTALEZA;CARRETERA DE CANILLAS 2;444286;4479355;40.46299114016900;-3.6571542769919400;;administrativo;JMD Hortaleza;HORTALEZA;13,5;DRAGADOS;07/03/2019;;;;;;;;;;
47;895;CC FEDERICO CHUECA ;C/ BENITA ÁVILA, 17;444847;4479572;40.46498334634000;-3.650568266584690;;cultural;JMD Hortaleza;HORTALEZA;8,6;DRAGADOS;19/11/2018;;;;;;;;;;
48;547;JMD LATINA;AV/ LAS AGUILAS, 2 (ANT AV/DEL GENERAL FANJUL);435041;4470644;40.38385718043740;-3.7653019593724200;5193,3;administrativo;JMD Latina;LATINA;27;AURA;22/11/2018;;;;;;;;;;
49;2148;CDM LAS CRUCES ;AV/ POBLADOS, 72;435779;4470115;40.379148937377300;-3.756554762411960;;deportivo;JMD Latina;LATINA;17;FERROVIAL;08/02/2019;;;;;;;;;;
