edificio,dirección,tipo del edificio,distrito,potencia kwp,empresa instaladora,puesta en servicio
BIBLIOTECA ÁNGEL GONZALEZ,"C/ GRANJA DE TORREHERMOSA, 2 ",cultural, Latina ,20.0,ORTIZ,2019-07-31
BIBLIOTECA IVÁN DE VARGAS,"C/ DOCTOR LETAMENDI, 1",cultural, Centro ,3.0,ORTIZ,2019-07-24
BIBLIOTECA EUGENIO TRIAS (CASA FIERAS),"AV/ MENENDEZ PELAYO , 10-3 BJ ",cultural, Retiro ,18.51183412814345,ORTIZ,2019-07-24
PLANETARIO,AV/ PLANETARIO 16,cultural, Arganzuela ,25.0,FULTON,2019-09-13
MADRID EMPRENDE,"C/CIDRO, 3 ",administrativo, Carabanchel ,10.0,Empresa desconocida,2019-09-13
MARES MADRID,C/ FRANCISCO LAGUNA 38,administrativo, Puente de Vallecas  ,7.0,Empresa desconocida,2019-09-13
NAVE BOETTICHER,"C/ CIFUENTES, 22 28021 MADRID",administrativo, Villaverde ,5.0,Empresa desconocida,2019-09-13
MARES VILLAVERDE MAR DE ALIMENTACION Y CUIDADO,"PASEO ALBERTO PALACIOS, 13",administrativo, Villaverde ,7.0,AURA,2019-01-15
AULA DE LA NATURALEZA DEHESA DE LA VILLA,"C/ FRANCOS RODRIGUEZ, 97 ",medioambiental, Moncloa Aravaca ,6.307692307692309,Empresa desconocida,2008-08-13
VIVERO MUNICIPAL DE ESTUFAS DEL RETIRO,"Pza. del Ángel Caído. Parque del Retiro 
(Entrada al Retiro al final de la cuesta de Claudio Moyano)",medioambiental, Retiro ,5.0,Empresa desconocida,2008-08-13
VIVERO MUNICIPAL DE CASA DE CAMPO,Pº Azul s/n. Parque de la Casa de Campo,medioambiental, Moncloa Aravaca ,5.0,Empresa desconocida,2008-08-13
VIVERO MUNICIPAL DE MIGAS CALIENTES,"Km. 22. M-30 (frente a palacio Moncloa)
 M-30 . Km. 21.600, calzada sur.",medioambiental, Moncloa Aravaca ,5.0,Empresa desconocida,2008-08-13
ROSALEDA DEL PARQUE DEL OESTE,"c/ de la Rosaleda s/n. Rosaleda del Parque del Oeste
 (junto al teleférico)",medioambiental, Moncloa Aravaca ,5.0,Empresa desconocida,2008-08-13
ALMACÉN DE LA VILLA,"C/ AHUMAOS, 27 28052 MADRID",almacén, Vicálvaro ,18.68068312801352,SAVEFFI,2020-03-27
BASE 14 SAMUR,"C/ CASUARINA, 10",sanitario, Latina ,6.0,AURA,2018-02-14
CENTRO PROTECCIÓN ANIMAL,"CARRETERA BARRIO DE LA FORTUNA, KM 10. 28054",sanitario, Latina ,7.428571428571431,POWEN,2018-06-21
PARQUE BOMBEROS Nº 6,"C/ SAN BERNARDO, 68 ",seguridad, Centro ,5.0,AURA,2020-02-14
PARQUE DE BOMBEROS Nº 7,"Av Hellin, 52",seguridad, San Blas Canillejas ,35.0,FERROVIAL,2018-02-13
PARQUE DE BOMBEROS Nº 11,"C/ Mesena, 146",seguridad, Hortaleza ,25.0,FERROVIAL,2019-10-01
CSS JOSÉ VILLARREAL (ARGANZUELA),"PLAZA JOSE VILLARREAL, 2 ",social, Arganzuela ,17.0,Empresa desconocida,2008-09-29
EI LA MELONERA ,"C/ EROS, 2",educativo, Arganzuela ,15.220080089559456,IMESAPI,2019-05-07
CDM MARQUÉS DE SAMARANCH,Pº IMPERIAL 20,deportivo, Arganzuela ,90.0,EULEN,2019-02-12
CDI ARGANZUELA,"C/ CANARIAS, 17 Y PALOS DE LA FRONTERA, 16",mixto, Arganzuela ,90.0,EULEN,2019-03-10
CDM ARGANZUELA LA FUNDI,"C/ ALICANTE , 14",deportivo, Arganzuela ,10.0,Empresa desconocida,2020-02-28
CC Y BIBLIOTECA GLORIA FUERTES,AV/ LOGROÑO 181,cultural, Barajas ,18.51183412814345,DRAGADOS,2019-12-14
CMM ACUARIO,"C/ ACUARIO, 27",social, Barajas ,14.560321808799788,EULEN,2019-04-01
CC SAN FRANCISCO LA PRENSA,"C/ALISEDA, 6 ",cultural, Carabanchel ,5.0,Empresa desconocida,2008-09-29
CC GARCÍA LORCA,"C/ EUGENIA DE MONTIJO, 105, B 1",cultural, Carabanchel ,3.0,AURA,2018-09-25
ANTIGUO CANÓDROMO,"C/ VÍA CARPETANA, 71",deportivo, Carabanchel ,3.0,AURA,2019-03-07
CEIP FERNANDO EL CATÓLICO,"C/ FERNANDO EL CATÓLICO, 16",educativo, Chamberí ,15.220080089559456,EULEN,2019-12-14
"JMD CIUDAD LINEAL (CMM, CC, BIBLIOTECA)","C/ HERMANOS GARCÍA NOBLEJAS, 16",mixto, Ciudad Lineal ,11.594966390334177,PECSA,2018-10-24
"CENTRO DE DÍA Y DE MAYORES ASCAO/
BIBLIOTECA PABLO NERUDA","C/ ASCAO, 2","cultural, social", Ciudad Lineal ,11.580242302503304,PECSA,2018-01-21
CC LA ELIPA Y CSS SANTA FELICIDAD,"C/SANTA FELICIDAD, 37","cultural, social", Ciudad Lineal ,15.0,PECSA,2018-08-22
CC Y CMM SAN JUAN BAUTISTA,"C/ SAN NEMESIO, 1","cultural, social", Ciudad Lineal ,25.0,PECSA,2018-01-21
CM Y CSS LUIS VIVES,"C/ HERMANOS GARCÍA NOBLEJAS, 170",social, Ciudad Lineal ,10.0,PECSA,2018-01-21
"CMM ISLAS FILIPINAS, CENTRO JUVENIL Y BIBLIOTECA LA ELIPA","C/ NUESTRA SEÑORA DEL VILLAR, 8",social, Ciudad Lineal ,15.0,PECSA,2018-10-24
CSS SAN VICENTE DE PAUL, C/BUITRAGO DE LOZOYA 22,social, Fuencarral El Pardo ,14.560321808799788,Empresa desconocida,2018-09-01
EI ELENA FORTÚN (MONTECARMELO),AV/ M.º SILOS 57 / CAAVEIRO,educativo, Fuencarral El Pardo ,15.220080089559456,ORTHEM,2019-03-07
CDM VICENTE DEL BOSQUE,"AV/ MONFORTE DE LEMOS, 13",deportivo, Fuencarral El Pardo ,50.0,ORTIZ,2019-05-28
CDM LA MASÓ,"C/ DE LA MASÓ, 190 BJ ",deportivo, Fuencarral El Pardo ,7.0,DRAGADOS,2019-12-11
EI EL FRESNO,"C/MARIA CASARES, 15 ",educativo, Fuencarral El Pardo ,15.220080089559456,Empresa desconocida,2019-04-26
